Well,Zone,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,AMPNC,MTP
A1,1,,total60,STANDARD,SYBR,None,7.976796627,7.967871189,0.009047512,100000000,,,TRUE,0.440812542,TRUE,1,2,83.17905426,,,,N,N
A2,1,,total60,STANDARD,SYBR,None,7.968111515,7.967871189,0.009047512,100000000,,,TRUE,0.440812542,TRUE,1,2,83.17905426,,,,N,N
A3,2,,total60,STANDARD,SYBR,None,7.958706379,7.967871189,0.009047512,100000000,,,TRUE,0.440812542,TRUE,1,2,83.02894592,,,,N,N
A4,2,16B1NL,total60,UNKNOWN,SYBR,None,26.45295715,26.48279572,0.042196751,1734.078979,1703.748779,42.89346695,TRUE,0.440812542,TRUE,3,20,82.87982178,,,,N,N
A5,3,16B1NL,total60,UNKNOWN,SYBR,None,,,,,,,TRUE,0.440812542,TRUE,3,20,,,,,N,N
A6,3,16B1NL,total60,UNKNOWN,SYBR,None,26.51263237,26.48279572,0.042196751,1673.418457,1703.748779,42.89346695,TRUE,0.440812542,TRUE,3,20,83.0255127,,,,N,N
A7,4,9B1NL,total60,UNKNOWN,SYBR,None,24.73641968,24.56398964,0.15938583,4829.414063,5368.773926,503.2892761,TRUE,0.440812542,TRUE,3,18,84.81850433,,,,N,N
A8,4,9B1NL,total60,UNKNOWN,SYBR,None,24.53349495,24.56398964,0.15938583,5451.055664,5368.773926,503.2892761,TRUE,0.440812542,TRUE,3,18,84.81850433,,,,N,N
A9,5,9B1NL,total60,UNKNOWN,SYBR,None,24.42205429,24.56398964,0.15938583,5825.852539,5368.773926,503.2892761,TRUE,0.440812542,TRUE,3,18,84.81908417,,,,N,N
A10,5,P006,total60,UNKNOWN,SYBR,None,21.94121361,21.91905212,0.031339724,25600.44531,25943.47852,485.1222229,TRUE,0.440812542,TRUE,3,16,81.68649292,84.66991425,,,N,Y
A11,6,P006,total60,UNKNOWN,SYBR,None,21.89689255,21.91905212,0.031339724,26286.51172,25943.47852,485.1222229,TRUE,0.440812542,TRUE,3,16,81.53335571,84.51591492,68.85744476,,N,Y
A12,6,P006,total60,UNKNOWN,SYBR,None,,,,,,,TRUE,0.440812542,TRUE,3,16,,,,,N,N
B1,1,,total60,STANDARD,SYBR,None,11.99335766,12.01303387,0.078215085,10000000,,,TRUE,0.440812542,TRUE,3,6,83.02992249,,,,N,N
B2,1,,total60,STANDARD,SYBR,None,12.09920788,12.01303387,0.078215085,10000000,,,TRUE,0.440812542,TRUE,3,6,83.02992249,,,,N,N
B3,2,,total60,STANDARD,SYBR,None,11.94653511,12.01303387,0.078215085,10000000,,,TRUE,0.440812542,TRUE,3,6,83.02894592,,,,N,N
B4,2,17B1L,total60,UNKNOWN,SYBR,None,24.35477257,24.57052612,0.305122942,6064.499512,5376.171875,973.4422607,TRUE,0.440812542,TRUE,3,18,82.73069763,,,,N,N
B5,3,17B1L,total60,UNKNOWN,SYBR,None,24.78628159,24.57052612,0.305122942,4687.844238,5376.171875,973.4422607,TRUE,0.440812542,TRUE,3,18,82.87639618,,,,N,N
B6,3,17B1L,total60,UNKNOWN,SYBR,None,,,,,,,TRUE,0.440812542,TRUE,3,19,,,,,N,N
B7,4,,,,,,,,,,,,,,,,,,,,,,
B8,4,,,,,,,,,,,,,,,,,,,,,,
