Well;Zone;Sample Name;Target Name;Task;Reporter;Quencher;C?;C? Mean;C? SD;Quantity;Quantity Mean;Quantity SD;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Tm1;Tm2;Tm3;Comments;AMPNC;MTP
A1;1;;total60;STANDARD;SYBR;None;6,737841129;6,640048504;0,094954975;100000000;;;TRUE;0,189500047;TRUE;1;2;83,18869781;;;;N;N
A2;1;;total60;STANDARD;SYBR;None;6,548211575;6,640048504;0,094954975;100000000;;;TRUE;0,189500047;TRUE;1;2;83,18869781;;;;N;N
A3;2;;total60;STANDARD;SYBR;None;6,634092331;6,640048504;0,094954975;100000000;;;TRUE;0,189500047;TRUE;1;2;83,19412231;;;;N;N
A4;2;P016;total60;UNKNOWN;SYBR;None;22,04885483;22,03817749;0,038656145;12382,28027;12462,70801;285,4784546;TRUE;0,189500047;TRUE;3;17;84,83345795;81,8528595;;;N;Y
A5;3;P016;total60;UNKNOWN;SYBR;None;22,07037163;22,03817749;0,038656145;12226,07031;12462,70801;285,4784546;TRUE;0,189500047;TRUE;3;17;84,97947693;81,84946442;;;N;Y
A6;3;P016;total60;UNKNOWN;SYBR;None;21,99530411;22,03817749;0,038656145;12779,77246;12462,70801;285,4784546;TRUE;0,189500047;TRUE;3;17;84,97947693;81,84946442;;;N;Y
A7;4;P024;total60;UNKNOWN;SYBR;None;21,37657928;21,4804306;0,090999968;18410,8125;17333,32617;943,1870728;TRUE;0,189500047;TRUE;3;16;84,98358154;;;;N;N
A8;4;P024;total60;UNKNOWN;SYBR;None;21,54621887;21,4804306;0,090999968;16657,21484;17333,32617;943,1870728;TRUE;0,189500047;TRUE;3;17;84,98358154;;;;N;N
A9;5;P024;total60;UNKNOWN;SYBR;None;21,51849365;21,4804306;0,090999968;16931,95313;17333,32617;943,1870728;TRUE;0,189500047;TRUE;3;17;84,82972717;;;;N;N
A10;5;P032;total60;UNKNOWN;SYBR;None;22,8470993;22,78797913;0,246844023;7731,227051;8063,314453;1199,642944;TRUE;0,189500047;TRUE;3;18;84,82972717;;;;N;N
A11;6;P032;total60;UNKNOWN;SYBR;None;22,51694489;22,78797913;0,246844023;9394,017578;8063,314453;1199,642944;TRUE;0,189500047;TRUE;3;18;84,82866669;;;;N;N
A12;6;P032;total60;UNKNOWN;SYBR;None;22,999897;22,78797913;0,246844023;7064,69873;8063,314453;1199,642944;TRUE;0,189500047;TRUE;3;18;84,82866669;;;;N;N
B1;1;;total60;STANDARD;SYBR;None;10,98619461;10,83537769;0,131363541;10000000;;;TRUE;0,189500047;TRUE;3;6;83,18869781;;;;N;N
B2;1;;total60;STANDARD;SYBR;None;10,74592686;10,83537769;0,131363541;10000000;;;TRUE;0,189500047;TRUE;3;6;83,03964996;;;;N;N
B3;2;;total60;STANDARD;SYBR;None;10,77401352;10,83537769;0,131363541;10000000;;;TRUE;0,189500047;TRUE;3;6;83,19412231;;;;N;N
B4;2;P017;total60;UNKNOWN;SYBR;None;17,47264671;17,61009407;0,149836794;184274,6875;170360,0156;14901,45703;TRUE;0,189500047;TRUE;3;13;84,98248291;;;;N;N
B5;3;P017;total60;UNKNOWN;SYBR;None;17,58781433;17,61009407;0,149836794;172168,5;170360,0156;14901,45703;TRUE;0,189500047;TRUE;3;13;85,12852478;;;;N;N
B6;3;P017;total60;UNKNOWN;SYBR;None;17,76982498;17,61009407;0,149836794;154636,8438;170360,0156;14901,45703;TRUE;0,189500047;TRUE;3;13;84,97947693;;;;N;N
B7;4;P025;total60;UNKNOWN;SYBR;None;21,53264046;21,51766014;0,018063182;16791,20508;16940,93555;180,9285278;TRUE;0,189500047;TRUE;3;17;84,83452606;81,85343933;70,22722626;;N;Y
B8;4;P025;total60;UNKNOWN;SYBR;None;21,49760056;21,51766014;0,018063182;17141,97852;16940,93555;180,9285278;TRUE;0,189500047;TRUE;3;17;84,83452606;81,85343933;70,22722626;;N;Y
B9;5;P025;total60;UNKNOWN;SYBR;None;21,5227356;21,51766014;0,018063182;16889,625;16940,93555;180,9285278;TRUE;0,189500047;TRUE;3;16;84,82972717;81,70024109;69,92740631;;N;Y
B10;5;P033;total60;UNKNOWN;SYBR;None;24,70279312;24,57831573;0,176038951;2586,557617;2791,196289;289,4029541;TRUE;0,189500047;TRUE;3;20;81,99828339;;;;N;N
B11;6;P033;total60;UNKNOWN;SYBR;None;;;;;;;TRUE;0,189500047;TRUE;3;20;;;;;N;N
B12;6;P033;total60;UNKNOWN;SYBR;None;24,45383644;24,57831573;0,176038951;2995,835205;2791,196289;289,4029541;TRUE;0,189500047;TRUE;3;19;81,84783936;;;;N;N
C1;1;;total60;STANDARD;SYBR;None;14,64488697;14,56467724;0,099104114;1000000;;;TRUE;0,189500047;TRUE;3;10;83,18869781;;;;N;N
