Well;Zone;Sample Name;Target Name;Task;Reporter;Quencher;C?;C? Mean;C? SD;Quantity;Quantity Mean;Quantity SD;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Tm1;Tm2;Tm3;Comments;MTP
A1;1;;total60;STANDARD;SYBR;None;8,192231178;8,261722565;0,113186479;100000000;;;TRUE;0,497055526;TRUE;1;2;83,17582703;;;;N
A2;1;;total60;STANDARD;SYBR;None;8,200608253;8,261722565;0,113186479;100000000;;;TRUE;0,497055526;TRUE;1;2;83,17582703;;;;N
A3;2;;total60;STANDARD;SYBR;None;8,39233017;8,261722565;0,113186479;100000000;;;TRUE;0,497055526;TRUE;1;2;83,17533875;;;;N
A4;2;P038;total60;UNKNOWN;SYBR;None;27,73584747;27,59887695;0,193706915;1109,111328;1206,434814;137,6362762;TRUE;0,497055526;TRUE;3;21;82,13215637;;;;N
A5;3;P038;total60;UNKNOWN;SYBR;None;;;;;;;TRUE;0,497055526;TRUE;3;20;;;;;N
A6;3;P038;total60;UNKNOWN;SYBR;None;27,46190453;27,59887695;0,193706915;1303,758423;1206,434814;137,6362762;TRUE;0,497055526;TRUE;3;21;82,28027344;;;;N
A7;4;P047;total60;UNKNOWN;SYBR;None;22,78121376;22,74378967;0,057950057;20655,50586;21125,13477;729,4089355;TRUE;0,497055526;TRUE;3;16;84,96499634;;;;N
A8;4;P047;total60;UNKNOWN;SYBR;None;22,77311707;22,74378967;0,057950057;20754,45313;21125,13477;729,4089355;TRUE;0,497055526;TRUE;3;16;84,96499634;;;;N
A9;5;P047;total60;UNKNOWN;SYBR;None;22,67703819;22,74378967;0,057950057;21965,44336;21125,13477;729,4089355;TRUE;0,497055526;TRUE;3;16;84,9451828;;;;N
A10;5;P056;total60;UNKNOWN;SYBR;None;22,88975716;22,80280113;0,075399362;19373,67578;20407,34766;896,3753052;TRUE;0,497055526;TRUE;3;17;84,9451828;;;;N
A11;6;P056;total60;UNKNOWN;SYBR;None;22,76305962;22,80280113;0,075399362;20878,02539;20407,34766;896,3753052;TRUE;0,497055526;TRUE;3;16;84,78329468;;;;N
A12;6;P056;total60;UNKNOWN;SYBR;None;22,75558472;22,80280113;0,075399362;20970,3418;20407,34766;896,3753052;TRUE;0,497055526;TRUE;3;16;84,78329468;;;;N
B1;1;;total60;STANDARD;SYBR;None;12,5663805;12,34572983;0,264755189;10000000;;;TRUE;0,497055526;TRUE;3;6;83,17582703;;;;N
B2;1;;total60;STANDARD;SYBR;None;12,41865444;12,34572983;0,264755189;10000000;;;TRUE;0,497055526;TRUE;3;6;83,17582703;;;;N
B3;2;;total60;STANDARD;SYBR;None;12,05215549;12,34572983;0,264755189;10000000;;;TRUE;0,497055526;TRUE;3;6;83,17533875;;;;N
B4;2;P040;total60;UNKNOWN;SYBR;None;26,50434494;26,49763489;0,010422016;2294,330566;2303,461914;14,19428921;TRUE;0,497055526;TRUE;3;20;84,96363068;;;;N
B5;3;P040;total60;UNKNOWN;SYBR;None;26,48563004;26,49763489;0,010422016;2319,814941;2303,461914;14,19428921;TRUE;0,497055526;TRUE;3;20;85,11289215;;;;N
B6;3;P040;total60;UNKNOWN;SYBR;None;26,50293541;26,49763489;0,010422016;2296,240234;2303,461914;14,19428921;TRUE;0,497055526;TRUE;3;20;85,11289215;;;;N
B7;4;P048;total60;UNKNOWN;SYBR;None;19,32308578;19,29533195;0,144362196;159032,2813;162053,4063;13957,65625;TRUE;0,497055526;TRUE;3;13;85,11406708;;;;N
B8;4;P048;total60;UNKNOWN;SYBR;None;19,13910866;19,29533195;0,144362196;177274,2188;162053,4063;13957,65625;TRUE;0,497055526;TRUE;3;13;84,96499634;;;;N
B9;5;P048;total60;UNKNOWN;SYBR;None;19,42380333;19,29533195;0,144362196;149853,7344;162053,4063;13957,65625;TRUE;0,497055526;TRUE;3;13;84,9451828;;;;N
B10;5;P057;total60;UNKNOWN;SYBR;None;23,69951439;23,74732018;0,053093318;12012,69629;11682,28613;364,5834656;TRUE;0,497055526;TRUE;3;17;81,81680298;;;;N
