,SoS091a_CP04272_S249_L001,SoS055a_CP04272_S217_L001,UG006_CP04272_S262_L001,SoS042a_CP04272_S215_L001,SoS036a_CP04272_S211_L001,9B1L_CP04272_S278_L001,SoS024a_CP04272_S197_L001,SoS070a_CP04272_S227_L001,SoS078b_CP04272_S236_L001,SoS017a_CP04272_S191_L001,SoS098b_CP04272_S252_L001,P060_CP04272_S338_L001,P006_CP04272_S287_L001,SoS002a_CP04272_S177_L001,P012_CP04272_S291_L001,P031_CP04272_S310_L001,SoS081a_CP04272_S241_L001,P043_CP04272_S322_L001,SoS008a_CP04272_S185_L001,P026_CP04272_S305_L001,UG004_CP04272_S260_L001,SoS025a_CP04272_S199_L001,SoS098a_CP04272_S251_L001,SoS079b_CP04272_S238_L001,SoS017b_CP04272_S192_L001,SoS008b_CP04272_S186_L001,SoS081b_CP04272_S242_L001,SoS014a_CP04272_S189_L001,P009_CP04272_S288_L001,SoS042b_CP04272_S216_L001,SoS065b_CP04272_S224_L001,UG005_CP04272_S261_L001,SoS035a_CP04272_S209_L001,P004_CP04272_S285_L001,P018_CP04272_S297_L001,UG001_CP04272_S257_L001,SoS006b_CP04272_S184_L001,2B1L_CP04272_S276_L001,SoS078a_CP04272_S235_L001,SoS006a_CP04272_S183_L001,P041_CP04272_S320_L001,SoS065a_CP04272_S223_L001,P024_CP04272_S303_L001,P033_CP04272_S312_L001,SoS036b_CP04272_S212_L001,P055_CP04272_S333_L001,P010_CP04272_S289_L001,P001_CP04272_S282_L001,P019_CP04272_S298_L001,SoS018a_CP04272_S193_L001,SoS091b_CP04272_S250_L001,SoS018b_CP04272_S194_L001,P015_CP04272_S294_L001,P036_CP04272_S315_L001,SoS005b_CP04272_S182_L001,P056_CP04272_S334_L001,P051_CP04272_S330_L001,SoS082b_CP04272_S244_L001,SoS039b_CP04272_S214_L001,P023_CP04272_S302_L001,P034_CP04272_S313_L001,SoS077a_CP04272_S233_L001,SoS011b_CP04272_S188_L001,SoS033a_CP04272_S207_L001,P003_CP04272_S284_L001,SoS077b_CP04272_S234_L001,P057_CP04272_S335_L001,SoS082a_CP04272_S243_L001,SoS075a_CP04272_S231_L001,SoS039a_CP04272_S213_L001,UG009_CP04272_S263_L001,SoS031b_CP04272_S206_L001,SoS014b_CP04272_S190_L001,SoS075b_CP04272_S232_L001,P046_CP04272_S325_L001,P017_CP04272_S296_L001,P021_CP04272_S300_L001,SoS004a_CP04272_S179_L001,16B1NL_CP04272_S343_L001,P044_CP04272_S323_L001,P053_CP04272_S332_L001,SoS005a_CP04272_S181_L001,SoS087b_CP04272_S248_L001,9B1NL_CP04272_S279_L001,SoS035b_CP04272_S210_L001,SoS025b_CP04272_S200_L001,P029_CP04272_S308_L001,P059_CP04272_S337_L001,P025_CP04272_S304_L001,SoS027b_CP04272_S202_L001,SoS085b_CP04272_S246_L001,SoS069a_CP04272_S225_L001,P040_CP04272_S319_L001,UG010_CP04272_S264_L001,P042_CP04272_S321_L001,P013_CP04272_S292_L001,SoS004b_CP04272_S180_L001,P058_CP04272_S336_L001,SoS011a_CP04272_S187_L001,SoS063b_CP04272_S222_L001,P038_CP04272_S317_L001,P050_CP04272_S329_L001,SoS063a_CP04272_S221_L001,P027_CP04272_S306_L001,P011_CP04272_S290_L001,P032_CP04272_S311_L001,SoS087a_CP04272_S247_L001,SoS073a_CP04272_S229_L001,P020_CP04272_S299_L001,SoS069b_CP04272_S226_L001,17B1NL_CP04272_S273_L001,SoS085a_CP04272_S245_L001,P005_CP04272_S286_L001,P048_CP04272_S327_L001,P045_CP04272_S324_L001,SoS080a_CP04272_S239_L001,SoS024b_CP04272_S198_L001,P037_CP04272_S316_L001,SoS070b_CP04272_S228_L001,P049_CP04272_S328_L001,SoS055b_CP04272_S218_L001,SoS060a_CP04272_S219_L001,SoS002b_CP04272_S178_L001,SoS023a_CP04272_S195_L001,SoS100a_CP04272_S255_L001,P022_CP04272_S301_L001,SoS060b_CP04272_S220_L001,P016_CP04272_S295_L001,P035_CP04272_S314_L001,SoS023b_CP04272_S196_L001,P047_CP04272_S326_L001,17B1L_CP04272_S344_L001,P002_CP04272_S283_L001,UG003_CP04272_S259_L001,SoS100b_CP04272_S256_L001,P039_CP04272_S318_L001,SoS079a_CP04272_S237_L001,P030_CP04272_S309_L001,2B1NL_CP04272_S277_L001,P028_CP04272_S307_L001,SoS099a_CP04272_S253_L001,SoS099b_CP04272_S254_L001,P052_CP04272_S331_L001,SoS080b_CP04272_S240_L001,UG002_CP04272_S258_L001,SoS073b_CP04272_S230_L001,P014_CP04272_S293_L001
major facilitator superfamily (MFS) antibiotic efflux pump,506,8408,3127,4424,1990,1727,2526,10026,13955,11405,3119,1647,3065,8449,4706,138,9116,785,2262,8943,4707,2918,4746,8373,9571,10914,34045,5450,372,10942,3668,2841,3429,45,9816,6483,8650,2436,16931,6075,404,14601,20040,463,6715,23,12227,10521,56,9882,2562,10301,169,176823,5177,15675,176,1874,5339,2889,497,5977,10994,1819,5032,8003,19,9356,8790,11178,3676,7127,2675,6243,8719,16259,1182,6232,6988,57686,290,7114,10034,6427,17304,17478,2712,182,125,15286,7119,7148,4420,4148,6114,259,3813,11126,9378,4223,193,12710,9765,1759,241,3029,5587,4575,11379,7817,8072,2112,326,9562,43,3568,4288,547,4712,237,4302,29758,5429,9395,2544,6872,6208,878,207,4563,694,1246,810,4933,2759,38,3432,209,5593,6266,7417,7619,22402,10341,9393,3345,1038
ATP-binding cassette (ABC) antibiotic efflux pump,1532,25704,4094,12904,3107,5204,9190,32867,41678,22333,4463,5157,9156,20062,15977,206,12268,2043,7228,29235,15789,6363,16276,25752,14916,33165,51223,6213,545,34911,10265,13043,4719,73,18767,15658,19929,7921,48343,15024,546,48154,47725,939,10681,62,25930,37507,128,29793,6642,24248,392,615955,10203,30467,106,3754,12304,1223,872,17505,37328,5064,13485,25850,33,22308,20119,28867,13532,17935,7645,12247,26808,37252,3788,13958,11753,122484,295,12183,30523,20587,16885,45332,8451,380,341,37450,20404,23171,20914,16052,4809,162,10019,36501,32359,11365,245,29751,30000,3311,274,8010,11934,11740,26310,25198,4285,3553,825,32863,42,4662,15444,1409,24149,328,12267,15866,15769,27549,8021,19907,8470,1601,269,16303,1786,4460,1259,13797,8692,111,9920,399,14569,14509,18476,14102,10649,27997,31667,8784,2103
rifamycin-resistant beta-subunit of RNA polymerase (rpoB),776,13061,2755,6937,1421,2235,4059,17143,27741,7745,2150,2828,4022,12208,6927,141,6586,924,3065,17940,8075,3316,7371,15394,6506,17325,27803,3574,257,20854,5741,4725,1603,31,9574,9569,11958,4523,29779,9140,335,26053,24372,441,5304,17,17326,20172,51,17002,3461,13897,110,378868,5801,16373,65,1905,7498,1542,325,10413,20997,2764,7263,16063,9,13434,10141,18592,6609,10378,3506,6464,13954,21844,1811,8237,5309,73472,151,6905,14890,10292,9208,30300,4569,199,252,24884,8699,12998,7532,7424,2706,175,5802,22715,18546,6624,92,18546,17400,1760,83,4720,6351,7445,14031,14360,2705,1895,347,21220,18,2695,6528,676,6970,224,7067,15047,8992,14352,3147,9429,5667,883,258,7402,948,1577,796,7283,4177,24,5505,207,8380,8652,12140,10715,6897,15046,16304,5545,1155
resistance-nodulation-cell division (RND) antibiotic efflux pump,426,2549,588,1668,948,3126,790,3001,5111,4883,1864,909,5653,2247,1864,209,1303,312,731,3008,2040,1008,1497,2750,4260,4635,6317,861,168,4130,1128,1553,4288,27,2382,1628,2487,992,5782,1769,271,4678,6824,766,2788,39,2885,4352,81,4213,1110,4285,283,63161,1677,3068,86,392,1419,309,620,2206,3912,605,1466,3118,24,2787,3877,3601,2076,2555,1388,4140,2476,3224,378,1968,8199,12553,180,2072,3003,6821,3736,5216,897,93,82,4185,4577,2413,2858,2228,1091,148,1204,3851,3585,1532,255,3154,3682,1233,146,1578,1609,1525,3923,2648,1148,933,687,3743,122,536,1519,701,1354,119,1247,3862,1733,2613,825,2527,1010,176,165,1681,238,1015,552,1918,1169,81,1118,226,3100,1711,2235,1700,3572,5098,3510,1125,678
antibiotic-resistant isoleucyl-tRNA synthetase (ileS),367,5551,1234,3139,751,942,1999,8534,9557,4430,898,1081,1714,5128,3451,61,2645,478,1450,7560,3660,1974,3456,6621,3017,6906,11872,1436,94,8578,2846,2792,883,14,3808,5363,5001,1805,11727,3901,121,11989,10272,254,2761,15,7531,8853,26,7017,1493,5841,80,140182,2697,6339,20,1221,4140,301,181,4164,8942,1246,3065,6062,9,5548,4979,7508,2780,4679,1610,3170,6418,8581,790,3941,2833,33131,46,3111,6745,4227,3423,14109,1759,82,117,10891,4078,5506,4287,3005,1080,47,2519,8562,7849,3120,56,6286,7360,759,79,1688,3476,3022,5768,6445,2531,731,145,8528,12,1010,3575,372,5226,75,3345,3890,3824,6431,1710,4453,1949,320,62,3806,492,874,271,3417,1743,20,2502,94,3600,3856,5816,5630,2264,6958,7582,2142,341
glycopeptide resistance gene cluster;vanK,8,1492,80,724,30,110,353,1217,2346,396,36,165,150,888,545,0,380,79,291,1375,597,235,799,1445,427,1766,1832,122,13,1893,539,447,37,1,706,541,1173,482,2465,912,5,2135,2485,0,283,4,1459,1892,4,1476,130,1079,1,34858,374,1385,2,81,611,1,0,945,2056,253,790,1491,0,1078,567,1423,584,962,317,340,1071,1473,182,633,80,5115,11,427,1762,941,551,2378,472,11,7,1856,332,1379,608,724,39,0,551,1636,1782,582,2,1690,1705,33,6,264,476,629,1763,1245,45,72,3,1642,0,69,879,4,631,10,640,110,853,1725,258,873,353,54,10,664,77,76,46,525,432,1,458,14,664,457,732,595,325,1094,1636,495,85
glycopeptide resistance gene cluster;vanH,90,1640,460,1619,261,388,683,2357,4193,1693,447,232,526,1982,1172,16,1249,196,510,2748,1019,400,1072,2528,1087,1726,4530,613,43,4078,823,722,297,1,1343,1369,2162,885,4697,1691,63,3952,2910,47,886,5,1944,2912,5,2405,382,1805,19,49546,1111,2283,8,278,926,166,69,2273,3840,493,1266,3320,4,2141,1423,2814,852,1343,556,908,2119,2745,227,1338,758,10027,27,1314,1896,1588,1748,4017,498,24,33,3391,1301,2486,1273,1120,696,13,963,2556,3624,1062,18,2913,2884,170,7,632,944,1144,1939,2685,391,282,47,3707,13,478,868,76,1851,15,803,3094,1463,2018,660,971,837,114,30,1082,180,267,69,947,598,11,967,24,1416,874,1498,1311,756,1889,3020,758,289
helicase-like RNA polymerase protection protein,28,740,115,375,45,84,211,960,1393,460,29,99,109,635,225,3,241,44,168,1009,400,303,341,893,595,961,1531,129,12,1167,386,289,77,4,339,562,656,265,1812,490,9,1582,1150,45,321,0,1114,1057,2,994,93,931,8,20880,262,908,0,110,514,5,12,566,1186,138,441,911,0,752,543,1203,361,670,271,422,828,917,132,440,295,3759,7,336,743,490,391,1927,217,14,14,1379,252,698,341,438,17,0,381,1302,1032,385,9,779,1042,89,2,290,398,392,824,848,49,50,1,1111,0,85,334,46,396,9,506,130,575,802,159,632,139,37,6,407,52,51,29,463,242,0,342,10,450,451,768,752,193,973,993,336,65
major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump,27,561,78,285,78,229,206,688,1018,509,83,103,330,458,407,11,290,36,112,684,380,136,435,610,537,1046,1556,150,10,891,217,346,176,2,457,268,495,214,1293,339,20,1345,1473,53,281,0,632,1134,3,793,130,635,14,15176,252,653,10,52,285,18,29,449,952,124,318,705,1,544,379,726,316,387,224,258,798,1199,113,273,409,3178,7,257,906,726,427,1150,226,9,3,957,312,536,379,369,106,9,212,748,781,277,14,634,821,77,9,210,324,287,605,668,85,81,17,749,3,76,309,41,326,2,271,246,363,542,150,625,235,21,4,361,36,78,37,276,236,6,211,15,418,327,373,287,419,1093,871,233,64
vga-type ABC-F protein,298,5462,1019,3161,536,983,1817,7418,9983,4434,912,965,1759,4856,3393,25,3065,422,1476,7269,3350,1389,3397,6436,2915,6857,12685,1407,102,8847,2536,2810,805,5,4150,4164,5108,1953,12594,3808,98,11372,9940,149,2165,14,6054,8629,39,7051,1219,5333,86,141030,2334,6960,11,892,3130,229,150,4713,9438,1276,3392,6841,12,5867,3844,7514,2970,4205,1755,2504,5939,9056,854,3304,1899,27645,39,2772,6565,4284,4221,11785,1890,84,75,10107,4235,6007,3956,3594,1134,39,2487,8138,8611,2930,63,6634,7459,577,25,1884,2599,3134,5985,6377,995,746,157,8249,4,741,3396,291,4826,71,2923,2986,3750,6123,1436,4581,1943,275,53,3509,440,764,281,2936,1872,31,2320,65,3091,3321,4515,3912,2289,5941,8005,2158,542
