,SoS091a_CP04272_S249_L001,SoS055a_CP04272_S217_L001,UG006_CP04272_S262_L001,SoS042a_CP04272_S215_L001,SoS036a_CP04272_S211_L001,9B1L_CP04272_S278_L001,SoS024a_CP04272_S197_L001,SoS070a_CP04272_S227_L001,SoS078b_CP04272_S236_L001,SoS017a_CP04272_S191_L001,SoS098b_CP04272_S252_L001,P060_CP04272_S338_L001,P006_CP04272_S287_L001,SoS002a_CP04272_S177_L001,P012_CP04272_S291_L001,P031_CP04272_S310_L001,SoS081a_CP04272_S241_L001,P043_CP04272_S322_L001,SoS008a_CP04272_S185_L001,P026_CP04272_S305_L001,UG004_CP04272_S260_L001,SoS025a_CP04272_S199_L001,SoS098a_CP04272_S251_L001,SoS079b_CP04272_S238_L001,SoS017b_CP04272_S192_L001,SoS008b_CP04272_S186_L001,SoS081b_CP04272_S242_L001,SoS014a_CP04272_S189_L001,P009_CP04272_S288_L001,SoS042b_CP04272_S216_L001,SoS065b_CP04272_S224_L001,UG005_CP04272_S261_L001,SoS035a_CP04272_S209_L001,P004_CP04272_S285_L001,P018_CP04272_S297_L001,UG001_CP04272_S257_L001,SoS006b_CP04272_S184_L001,2B1L_CP04272_S276_L001,SoS078a_CP04272_S235_L001,SoS006a_CP04272_S183_L001,P041_CP04272_S320_L001,SoS065a_CP04272_S223_L001,P024_CP04272_S303_L001,P033_CP04272_S312_L001,SoS036b_CP04272_S212_L001,P055_CP04272_S333_L001,P010_CP04272_S289_L001,P001_CP04272_S282_L001,P019_CP04272_S298_L001,SoS018a_CP04272_S193_L001,SoS091b_CP04272_S250_L001,SoS018b_CP04272_S194_L001,P015_CP04272_S294_L001,P036_CP04272_S315_L001,SoS005b_CP04272_S182_L001,P056_CP04272_S334_L001,P051_CP04272_S330_L001,SoS082b_CP04272_S244_L001,SoS039b_CP04272_S214_L001,P023_CP04272_S302_L001,P034_CP04272_S313_L001,SoS077a_CP04272_S233_L001,SoS011b_CP04272_S188_L001,SoS033a_CP04272_S207_L001,P003_CP04272_S284_L001,SoS077b_CP04272_S234_L001,P057_CP04272_S335_L001,SoS082a_CP04272_S243_L001,SoS075a_CP04272_S231_L001,SoS039a_CP04272_S213_L001,UG009_CP04272_S263_L001,SoS031b_CP04272_S206_L001,SoS014b_CP04272_S190_L001,SoS075b_CP04272_S232_L001,P046_CP04272_S325_L001,P017_CP04272_S296_L001,P021_CP04272_S300_L001,SoS004a_CP04272_S179_L001,16B1NL_CP04272_S343_L001,P044_CP04272_S323_L001,P053_CP04272_S332_L001,SoS005a_CP04272_S181_L001,SoS087b_CP04272_S248_L001,9B1NL_CP04272_S279_L001,SoS035b_CP04272_S210_L001,SoS025b_CP04272_S200_L001,P029_CP04272_S308_L001,P059_CP04272_S337_L001,P025_CP04272_S304_L001,SoS027b_CP04272_S202_L001,SoS085b_CP04272_S246_L001,SoS069a_CP04272_S225_L001,P040_CP04272_S319_L001,UG010_CP04272_S264_L001,P042_CP04272_S321_L001,P013_CP04272_S292_L001,SoS004b_CP04272_S180_L001,P058_CP04272_S336_L001,SoS011a_CP04272_S187_L001,SoS063b_CP04272_S222_L001,P038_CP04272_S317_L001,P050_CP04272_S329_L001,SoS063a_CP04272_S221_L001,P027_CP04272_S306_L001,P011_CP04272_S290_L001,P032_CP04272_S311_L001,SoS087a_CP04272_S247_L001,SoS073a_CP04272_S229_L001,P020_CP04272_S299_L001,SoS069b_CP04272_S226_L001,17B1NL_CP04272_S273_L001,SoS085a_CP04272_S245_L001,P005_CP04272_S286_L001,P048_CP04272_S327_L001,P045_CP04272_S324_L001,SoS080a_CP04272_S239_L001,SoS024b_CP04272_S198_L001,P037_CP04272_S316_L001,SoS070b_CP04272_S228_L001,P049_CP04272_S328_L001,SoS055b_CP04272_S218_L001,SoS060a_CP04272_S219_L001,SoS002b_CP04272_S178_L001,SoS023a_CP04272_S195_L001,SoS100a_CP04272_S255_L001,P022_CP04272_S301_L001,SoS060b_CP04272_S220_L001,P016_CP04272_S295_L001,P035_CP04272_S314_L001,SoS023b_CP04272_S196_L001,P047_CP04272_S326_L001,17B1L_CP04272_S344_L001,P002_CP04272_S283_L001,UG003_CP04272_S259_L001,SoS100b_CP04272_S256_L001,P039_CP04272_S318_L001,SoS079a_CP04272_S237_L001,P030_CP04272_S309_L001,2B1NL_CP04272_S277_L001,P028_CP04272_S307_L001,SoS099a_CP04272_S253_L001,SoS099b_CP04272_S254_L001,P052_CP04272_S331_L001,SoS080b_CP04272_S240_L001,UG002_CP04272_S258_L001,SoS073b_CP04272_S230_L001,P014_CP04272_S293_L001
major facilitator superfamily (MFS) antibiotic efflux pump,0.089383501,0.089803155,0.158465515,0.086760409,0.152548869,0.082957056,0.08207161,0.084524853,0.082634106,0.139519237,0.160055422,0.089481691,0.078672451,0.102990114,0.086869843,0.122340426,0.171666384,0.103330262,0.093071099,0.077543376,0.082505127,0.112494699,0.085981376,0.081610573,0.153369121,0.090004948,0.151504363,0.188895051,0.163229487,0.078691684,0.089459051,0.069139228,0.152569522,0.174418605,0.132487515,0.098897076,0.102705976,0.078260031,0.086379568,0.096601841,0.148802947,0.08115905,0.111746173,0.10817757,0.144436558,0.09623431,0.110385858,0.075223074,0.093333333,0.084892531,0.10504305,0.105176639,0.105625,0.074441916,0.119544636,0.128521531,0.273716952,0.124650792,0.101471035,0.313544606,0.126850434,0.083676326,0.076089364,0.090574117,0.095849445,0.076264807,0.117283951,0.101171102,0.114939523,0.092153969,0.076422528,0.097006901,0.09441954,0.12153954,0.087948113,0.110614472,0.087881041,0.106065763,0.128491312,0.115125631,0.197682345,0.136992105,0.092633795,0.079908988,0.207064905,0.089700229,0.088456897,0.119344262,0.083500334,0.095026731,0.101692736,0.078945043,0.068485722,0.074968372,0.232568755,0.209886548,0.093740781,0.07951914,0.073302849,0.090787918,0.145003757,0.106028881,0.082262059,0.126939453,0.220091324,0.094911324,0.114746354,0.09319617,0.1085037,0.078974753,0.280180493,0.145725523,0.083955704,0.07206922,0.138709677,0.181975825,0.082073269,0.092289523,0.06929208,0.157789614,0.087971862,0.270642911,0.088545659,0.091184378,0.097021471,0.094335996,0.158403715,0.142880391,0.125835866,0.08063832,0.098230715,0.084865822,0.141016713,0.09430139,0.088449332,0.084070796,0.088856669,0.119156214,0.093810802,0.110047595,0.093762642,0.110348324,0.336482569,0.094381469,0.079004475,0.092395658,0.117941143
ATP-binding cassette (ABC) antibiotic efflux pump,0.270623565,0.274536191,0.207469721,0.253064266,0.238175546,0.249975982,0.298589902,0.277087408,0.246795005,0.273203254,0.229024478,0.280180376,0.235016299,0.244548192,0.294925516,0.182624113,0.231022729,0.268921943,0.297399605,0.253492183,0.276752379,0.245306296,0.294865756,0.251001491,0.239019309,0.273503216,0.227948539,0.215340358,0.239139974,0.251069767,0.250353641,0.317417439,0.20996663,0.282945736,0.25330004,0.238860159,0.236627444,0.254473608,0.246639151,0.238904702,0.201104972,0.267662001,0.266122062,0.219392523,0.229743391,0.259414226,0.234097106,0.268167649,0.213333333,0.255940415,0.272324723,0.247580151,0.245,0.25931508,0.235602457,0.249803221,0.164852255,0.249700678,0.233845218,0.132732798,0.222562532,0.245065099,0.258346714,0.252153563,0.256862035,0.246338279,0.203703704,0.241227548,0.263079438,0.2379861,0.281324713,0.244116566,0.269845752,0.238426196,0.270410942,0.253435655,0.281635688,0.237558717,0.216107383,0.244444888,0.201090661,0.234604275,0.281788052,0.255964888,0.202051024,0.232651951,0.275644998,0.249180328,0.227788911,0.23281114,0.291464895,0.255908729,0.324052124,0.290113862,0.182928221,0.131280389,0.246312322,0.260877955,0.25293313,0.244329786,0.184072126,0.248187665,0.25272522,0.238940608,0.250228311,0.250987028,0.245101664,0.239152577,0.25087726,0.25457411,0.148733079,0.245152832,0.212464589,0.247689896,0.135483871,0.237772224,0.295601577,0.237725662,0.355121908,0.218375499,0.250848636,0.144298018,0.257188524,0.267380354,0.305899851,0.273275128,0.216121048,0.260537022,0.163525836,0.288110133,0.252795471,0.303773328,0.219185237,0.263749498,0.278652262,0.245575221,0.256835128,0.227480046,0.244364307,0.254816558,0.233565939,0.204243609,0.159950133,0.255526349,0.266350974,0.242631826,0.238950119
rifamycin-resistant beta-subunit of RNA polymerase (rpoB),0.137078255,0.139500358,0.139613845,0.136043616,0.108930625,0.107359016,0.131879914,0.144525191,0.164267485,0.094745856,0.110329964,0.15364555,0.103236736,0.148810902,0.127868126,0.125,0.124023125,0.121626958,0.126110928,0.155554977,0.141540026,0.12783839,0.133537447,0.150043374,0.104254467,0.142874814,0.123726709,0.123873562,0.112768758,0.149975908,0.14001756,0.114988684,0.071323693,0.120155039,0.129221217,0.145973487,0.141983591,0.145307932,0.151928247,0.145340054,0.123388582,0.144814514,0.135902083,0.103037383,0.114086597,0.071129707,0.15641984,0.144225819,0.085,0.146057763,0.141902419,0.141892996,0.06875,0.159502213,0.133953725,0.134244531,0.101088647,0.126712784,0.142504181,0.167354026,0.082950485,0.145779084,0.145320027,0.13762884,0.138345492,0.153072796,0.055555556,0.145268553,0.132605427,0.153276668,0.137398391,0.141256857,0.123751368,0.125841997,0.140753293,0.148610771,0.13464684,0.140189938,0.097618829,0.146630211,0.102931152,0.132967456,0.137464341,0.127963794,0.110185717,0.155505032,0.149026387,0.130491803,0.168336673,0.154693522,0.124262553,0.143554515,0.116704628,0.134176758,0.102932786,0.141815235,0.142639394,0.162347408,0.14496424,0.142405676,0.069120962,0.154713739,0.146580628,0.127011619,0.075799087,0.147897474,0.130437461,0.151660216,0.13379167,0.145078348,0.09389101,0.130752777,0.089363894,0.159936086,0.058064516,0.13745091,0.124947364,0.114054328,0.102496985,0.149134487,0.144513517,0.136849381,0.146657316,0.139295177,0.120018306,0.129437443,0.144599525,0.14369406,0.156838906,0.130809741,0.13418259,0.107410435,0.138579387,0.13922502,0.133908249,0.053097345,0.142527962,0.118015964,0.14055686,0.151952089,0.153468851,0.155188645,0.103594334,0.137323622,0.13713286,0.153164102,0.131235087
resistance-nodulation-cell division (RND) antibiotic efflux pump,0.075251722,0.027225053,0.029797801,0.032711655,0.072671522,0.150158517,0.025667685,0.025300128,0.03026463,0.05973454,0.095653513,0.04938607,0.14510126,0.02739008,0.034408285,0.185283688,0.02453722,0.041068843,0.030077354,0.026081905,0.03575748,0.038860403,0.027120548,0.026803903,0.068263761,0.038223652,0.028111413,0.029841952,0.073716542,0.02970176,0.027510853,0.037794164,0.190789766,0.104651163,0.032150088,0.024834866,0.029529452,0.031869438,0.029498946,0.02812982,0.099815838,0.026002468,0.038051691,0.178971963,0.059968596,0.163179916,0.026045899,0.031115941,0.135,0.036192292,0.045510455,0.043751276,0.176875,0.026590579,0.038724426,0.025154964,0.133748056,0.026074232,0.026968983,0.033535924,0.158244002,0.030883382,0.027074913,0.030124981,0.027924341,0.029713066,0.148148148,0.030137223,0.050696306,0.029687461,0.043159186,0.034776572,0.04899227,0.080598061,0.024975287,0.021933763,0.028104089,0.033494452,0.150758481,0.025052388,0.122699387,0.039899865,0.027723668,0.084807719,0.044706108,0.026769447,0.029257314,0.060983607,0.054776219,0.026016412,0.065381044,0.026650027,0.044283302,0.040267486,0.041500247,0.11993517,0.029599764,0.027523657,0.028022042,0.032935612,0.191585274,0.026311179,0.031017809,0.088980299,0.133333333,0.049445384,0.0330458,0.03106539,0.037407506,0.026752609,0.039847275,0.064375906,0.176925058,0.028211158,0.393548387,0.027337175,0.029073996,0.118272313,0.019911179,0.079227696,0.02549998,0.035124098,0.028264805,0.025360807,0.031463331,0.034689619,0.025771223,0.028641172,0.100303951,0.029706995,0.03368719,0.069132271,0.096100279,0.036665329,0.037476357,0.17920354,0.028945733,0.128848347,0.051995975,0.030049702,0.028253944,0.024621624,0.053652162,0.046529033,0.029522592,0.031074773,0.0770367
antibiotic-resistant isoleucyl-tRNA synthetase (ileS),0.064829535,0.059288453,0.06253484,0.061559883,0.05756995,0.045249303,0.06494899,0.071946449,0.056591484,0.054192917,0.046082003,0.058730849,0.043994969,0.06250838,0.063703321,0.054078014,0.049808862,0.062919574,0.059660961,0.065551596,0.064153126,0.076101623,0.062610964,0.064534051,0.048345485,0.056952004,0.052831834,0.049771246,0.041246161,0.061690483,0.069411248,0.067946752,0.039288098,0.054263566,0.05139695,0.081811664,0.05937949,0.057988242,0.059829496,0.062031898,0.044567219,0.066640357,0.057278278,0.059345794,0.059387839,0.062761506,0.067990177,0.063297203,0.043333333,0.060280398,0.061213612,0.059638554,0.05,0.059016173,0.062277744,0.051974353,0.031104199,0.081215911,0.07868329,0.03266768,0.046197039,0.058294834,0.061887492,0.062042524,0.058382064,0.057767994,0.055555556,0.059993296,0.065106244,0.061897656,0.057795056,0.063686725,0.056828209,0.061713974,0.064738042,0.058378915,0.058736059,0.067074001,0.052091569,0.066120502,0.03135651,0.059907568,0.062269777,0.05255567,0.040960655,0.072409917,0.057373039,0.053770492,0.078156313,0.067704837,0.058252982,0.060810214,0.066424952,0.054310501,0.041081821,0.03808752,0.06192841,0.061193859,0.061351468,0.067075137,0.042073629,0.052438831,0.062001921,0.054773761,0.072146119,0.052892148,0.071390429,0.061560399,0.055000381,0.065113507,0.08785144,0.050438143,0.037342261,0.064275916,0.038709677,0.051512215,0.068426291,0.062763624,0.076850681,0.049933422,0.06840211,0.035378753,0.062368503,0.062416896,0.065214904,0.061128957,0.049730806,0.052074858,0.03768997,0.067260453,0.069639066,0.059528675,0.047179666,0.065320869,0.055877921,0.044247788,0.064778376,0.05359179,0.060382422,0.067721597,0.073523463,0.081541024,0.034005738,0.063505102,0.063772163,0.059166367,0.038745597
glycopeptide resistance gene cluster;vanK,0.001413178,0.015935574,0.004054123,0.014198584,0.002299732,0.005283889,0.011469231,0.010259999,0.013891767,0.004844333,0.001847385,0.008964468,0.003850201,0.010824384,0.010060362,0,0.007155905,0.010398842,0.011973338,0.011922413,0.010464321,0.009059717,0.014475162,0.014084232,0.0068424,0.014563747,0.008152621,0.004228476,0.005704256,0.013613906,0.0131457,0.010878295,0.001646274,0.003875969,0.009528951,0.008252864,0.013927643,0.015484949,0.012576081,0.014502202,0.001841621,0.011867308,0.013856749,0,0.0060872,0.016736402,0.013171912,0.013527427,0.006666667,0.012679759,0.005330053,0.011016949,0.000625,0.014675106,0.008636217,0.01135581,0.00311042,0.005387788,0.011612437,0.00010853,0,0.013229735,0.014229555,0.012597719,0.015047906,0.014208525,0,0.011656953,0.007414188,0.011731535,0.01214112,0.013093958,0.011189157,0.006619164,0.010803123,0.010021226,0.013531599,0.010773368,0.001470994,0.010208155,0.007498296,0.008222607,0.016266768,0.01169976,0.006593433,0.012204322,0.015395153,0.007213115,0.004676019,0.011537983,0.004742518,0.015230164,0.00942066,0.013085126,0.00148351,0,0.013546071,0.01169273,0.013928948,0.012512093,0.00150263,0.014098254,0.014363217,0.002381468,0.005479452,0.008272232,0.009776135,0.0128132,0.01681097,0.012578172,0.001561958,0.004967916,0.000772599,0.012375827,0,0.003519151,0.016824254,0.000674878,0.009279139,0.00665779,0.013087399,0.001000427,0.013912221,0.016742209,0.009839442,0.011984186,0.00900717,0.008787632,0.006079027,0.011734351,0.010898797,0.005176406,0.008008357,0.01003613,0.013849261,0.002212389,0.011857912,0.007981756,0.011137202,0.008026133,0.009253641,0.008617568,0.004881566,0.009984849,0.013760388,0.0136729,0.009657993
glycopeptide resistance gene cluster;vanH,0.015898251,0.017516315,0.023311205,0.031750701,0.020007666,0.018637717,0.022191176,0.019870844,0.024828721,0.020710747,0.022938369,0.012604585,0.013501373,0.02415983,0.021634394,0.014184397,0.023520328,0.025799658,0.0209842,0.023827485,0.017861212,0.015420795,0.019420994,0.024640097,0.017418476,0.014233878,0.020159047,0.021246361,0.018867925,0.029327791,0.020072192,0.017570758,0.013214683,0.003875969,0.018126603,0.020883865,0.025670557,0.028431908,0.02396343,0.0268895,0.02320442,0.021967027,0.016226615,0.010981308,0.019057452,0.020920502,0.017550512,0.020820225,0.008333333,0.020660447,0.015662157,0.018429651,0.011875,0.020858707,0.025654644,0.018718638,0.01244168,0.018491419,0.017599209,0.018016063,0.017611026,0.031821364,0.026576602,0.024548125,0.024114745,0.03163803,0.024691358,0.023151703,0.018607388,0.023199255,0.017712729,0.018279819,0.019625146,0.017677063,0.021374246,0.018674994,0.016877323,0.022772142,0.013937667,0.020011176,0.018404908,0.025303293,0.017503854,0.019744122,0.020917097,0.020615964,0.016243191,0.015737705,0.022044088,0.021080443,0.018584387,0.027456264,0.019724508,0.020242183,0.026474952,0.010534846,0.023674894,0.018268104,0.028326885,0.022831345,0.013523666,0.024300718,0.024295318,0.012268168,0.006392694,0.019803221,0.019387965,0.023304135,0.018489206,0.027126418,0.013571677,0.019457669,0.012104043,0.027939824,0.041935484,0.024379048,0.016613712,0.012822676,0.027219788,0.009986684,0.016420596,0.028139296,0.023861171,0.019585958,0.025170665,0.01332949,0.021356944,0.018551668,0.018237082,0.019121337,0.025477707,0.018185533,0.012012535,0.018103267,0.019170968,0.024336283,0.025036247,0.01368301,0.023750419,0.01534976,0.018937095,0.018987617,0.011355273,0.01724075,0.025401204,0.020937491,0.032837178
helicase-like RNA polymerase protection protein,0.004946123,0.007903703,0.005827801,0.007354239,0.003449598,0.00403497,0.006855546,0.008093343,0.008248607,0.005627255,0.001488172,0.005378681,0.002797813,0.00774041,0.004153361,0.002659574,0.00453835,0.00579176,0.006912442,0.008748884,0.007011271,0.011681252,0.00617776,0.008703958,0.009534492,0.00792512,0.006813135,0.004471094,0.005265467,0.008392725,0.009414175,0.00703317,0.003426029,0.015503876,0.004575516,0.008573216,0.007789031,0.008513509,0.009244568,0.007791753,0.003314917,0.008793481,0.00641258,0.010514019,0.006904562,0,0.010057238,0.007557341,0.003333333,0.008539079,0.003813038,0.00950582,0.005,0.008790413,0.00604997,0.00744482,0,0.007316749,0.009768892,0.000542652,0.003062787,0.007923842,0.008208294,0.006871483,0.00840016,0.008681399,0,0.008131752,0.00710036,0.009917805,0.007505041,0.009119493,0.009565494,0.008215551,0.008351994,0.006238605,0.009814126,0.007488597,0.00542429,0.007501946,0.004771643,0.006470248,0.006859369,0.00609233,0.004678824,0.009889709,0.007077856,0.009180328,0.009352037,0.008572672,0.003599743,0.007708959,0.005283627,0.00791614,0.000646658,0,0.009366703,0.009305583,0.008066596,0.0082769,0.006761833,0.006498544,0.008777989,0.006422747,0.001826484,0.009086921,0.008174163,0.007985333,0.007857197,0.008567301,0.001700798,0.003449941,0.000257533,0.008373657,0,0.004335186,0.006392834,0.007761093,0.005823358,0.005992011,0.010347225,0.001182323,0.009378109,0.007783914,0.006063842,0.008675837,0.003546733,0.006021155,0.003647416,0.007192592,0.007360226,0.003473641,0.005048747,0.008850911,0.007758151,0,0.008854598,0.005701254,0.007547803,0.007920757,0.009708738,0.010891448,0.002898899,0.008880492,0.008352118,0.009280999,0.007385524
major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump,0.004769475,0.005991861,0.003952769,0.005589222,0.005979302,0.011000096,0.006693092,0.005800229,0.006028056,0.006226681,0.00425925,0.005596001,0.008470443,0.005582847,0.007512968,0.009751773,0.005461085,0.004738713,0.004608295,0.005930859,0.006660707,0.00524307,0.00788072,0.005945593,0.00860508,0.008626093,0.006924388,0.005198946,0.004387889,0.006407813,0.005292425,0.008420335,0.007830923,0.007751938,0.006168174,0.004088295,0.005877394,0.00687506,0.006596703,0.005390621,0.007366483,0.007476126,0.008213678,0.012383178,0.006044181,0,0.005705722,0.008107876,0.005,0.006812364,0.005330053,0.006483561,0.00875,0.006389047,0.005819055,0.005354039,0.0155521,0.003458827,0.005416603,0.001953549,0.007401736,0.006285874,0.006588782,0.006174376,0.006057258,0.006718317,0.00617284,0.005882544,0.004955868,0.005985309,0.00656951,0.005267528,0.007906533,0.005022778,0.008049386,0.008157128,0.008401487,0.004646334,0.007520456,0.006342427,0.004771643,0.00494897,0.008364184,0.009026595,0.005109611,0.005902006,0.007371408,0.005901639,0.002004008,0.005949273,0.004456825,0.005919774,0.005872418,0.006669076,0.004032105,0.007293355,0.005211919,0.005346065,0.006104663,0.005955068,0.010518407,0.005288931,0.006916247,0.005556758,0.008219178,0.006580184,0.006654344,0.005846405,0.005768937,0.00674877,0.002950364,0.005588905,0.004378058,0.005645246,0.009677419,0.003876167,0.005914328,0.006917496,0.004793977,0.001331558,0.005541696,0.00223732,0.005920441,0.005260451,0.005720606,0.008579744,0.005996275,0.003417413,0.002431611,0.00637967,0.005095541,0.005312628,0.006441504,0.005276137,0.0075658,0.013274336,0.005462925,0.008551881,0.00701107,0.005742988,0.004715311,0.004156709,0.006293465,0.009975722,0.007325977,0.006435931,0.007271901
vga-type ABC-F protein,0.052640876,0.058337873,0.051639386,0.061991332,0.04108854,0.047218753,0.059035675,0.062537938,0.05911403,0.05424185,0.046800431,0.052428556,0.04515003,0.059192803,0.062632677,0.022163121,0.05771802,0.055548243,0.060730744,0.06302838,0.058719391,0.05354871,0.061542085,0.062730879,0.046711001,0.056547914,0.056449783,0.048766117,0.044756472,0.063625053,0.061850641,0.068384804,0.035817575,0.019379845,0.056012957,0.06352112,0.060649957,0.062742956,0.064252807,0.060553055,0.036095764,0.063210788,0.055426994,0.034813084,0.046568153,0.058577406,0.054655761,0.061695647,0.065,0.060572479,0.0499795,0.054451705,0.05375,0.059373178,0.053895534,0.057066019,0.017107309,0.05933218,0.059487608,0.024853484,0.038284839,0.06598068,0.065320303,0.063536324,0.064610754,0.065191496,0.074074074,0.063442802,0.050264792,0.061947122,0.061745078,0.057235024,0.061946278,0.048748199,0.059906393,0.061610472,0.063494424,0.056232555,0.034917716,0.055171932,0.026584867,0.053379549,0.060608019,0.05326437,0.050509765,0.060482733,0.061645846,0.055081967,0.0501002,0.062831033,0.060495679,0.066343435,0.06129627,0.06495572,0.043135912,0.031604538,0.061141705,0.05816347,0.067307617,0.062990433,0.047332832,0.055341904,0.062835914,0.041639605,0.02283105,0.059033653,0.053378517,0.063841923,0.057069571,0.064426506,0.034536619,0.051473125,0.040432655,0.062173081,0.012903226,0.037792625,0.065000191,0.049097351,0.070968501,0.047270306,0.059772606,0.027157058,0.061161581,0.059427562,0.054765264,0.062886088,0.049577709,0.044751831,0.032218845,0.062011805,0.062278839,0.052036507,0.048920613,0.056125863,0.060013465,0.068584071,0.06006628,0.037058153,0.051845018,0.058325576,0.05707676,0.056658701,0.034381243,0.054223025,0.067330014,0.05960832,0.061583911
