Sample,Sample_name,trimmed pair1,,trimmed pair2,decontaminated hg37dec_v0.1 pair1,decontaminated hg37dec_v0.1 pair2,final pair1,final pair2,%Non-Human,%reads_pair2 after decontam compared to after trimming,%Human
X16B1NL_CP04272_S343_L001,X16B1NL,6524582,6424582,6524582,3231830,3231830,3231830,3231830,"49,53313484","49,53313484","50,46686516"
X17B1L_CP04272_S344_L001,X17B1L,7966779,7866779,7966779,1196085,1196085,1196085,1196085,"15,01340755","15,01340755","84,98659245"
X17B1NL_CP04272_S273_L001,X17B1NL,7827180,7727180,7827180,1029283,1029283,1029283,1029283,"13,15011281","13,15011281","86,84988719"
X2B1L_CP04272_S276_L001,X2B1L,7786480,7686480,7786480,1731949,1731949,1731949,1731949,"22,24302894","22,24302894","77,75697106"
X2B1NL_CP04272_S277_L001,X2B1NL,7363063,7263063,7363063,3603122,3603122,3603122,3603122,"48,93509671","48,93509671","51,06490329"
X9B1L_CP04272_S278_L001,X9B1L,8102046,8002046,8102046,1402651,1402651,1402651,1402651,"17,31230605","17,31230605","82,68769395"
X9B1NL_CP04272_S279_L001,X9B1NL,6703219,6603219,6703219,4590695,4590695,4590695,4590695,"68,48493239","68,48493239","31,51506761"
P001_CP04272_S282_L001,P001,8530982,8430982,8530982,8279233,8279233,8279233,8279233,"97,04900327","97,04900327","2,950996732"
P002_CP04272_S283_L001,P002,8440490,8340490,8440490,417536,417536,417536,417536,"4,946821808","4,946821808","95,05317819"
P003_CP04272_S284_L001,P003,6771624,6671624,6771624,3144800,3144800,3144800,3144800,"46,44085377","46,44085377","53,55914623"
P004_CP04272_S285_L001,P004,8343408,8243408,8343408,17943,17943,17943,17943,"0,215056006","0,215056006","99,78494399"
P005_CP04272_S286_L001,P005,8711720,8611720,8711720,167437,167437,167437,167437,"1,921974076","1,921974076","98,07802592"
P006_CP04272_S287_L001,P006,8841449,8741449,8841449,2215645,2215645,2215645,2215645,"25,05974982","25,05974982","74,94025018"
P009_CP04272_S288_L001,P009,8958712,8858712,8958712,140796,140796,140796,140796,"1,571609847","1,571609847","98,42839015"
P010_CP04272_S289_L001,P010,7323533,7223533,7323533,6279016,6279016,6279016,6279016,"85,73752586","85,73752586","14,26247414"
P011_CP04272_S290_L001,P011,6171756,6071756,6171756,95220,95220,95220,95220,"1,542834811","1,542834811","98,45716519"
P012_CP04272_S291_L001,P012,95711236,95611236,95711236,3992867,3992867,3992867,3992867,"4,171785014","4,171785014","95,82821499"
P013_CP04272_S292_L001,P013,10202317,10102317,10202317,49769,49769,49769,49769,"0,487820561","0,487820561","99,51217944"
P014_CP04272_S293_L001,P014,6639334,6539334,6639334,566693,566693,566693,566693,"8,535389242","8,535389242","91,46461076"
