Sample,X16B1NL,X17B1L,X17B1NL,X2B1L,X2B1NL,X9B1L,X9B1NL,P001,P002,P003,P004,P005,P006,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P055,P056,P057,P058,P059,P060,SoS002a,SoS002b,SoS004a,SoS004b,SoS005a,SoS005b,SoS006a,SoS006b,SoS008a,SoS008b,SoS011a,SoS011b,SoS014a,SoS014b,SoS017a,SoS017b,SoS018a,SoS018b,SoS023a,SoS023b,SoS024a,SoS024b,SoS025a,SoS025b,SoS027b,SoS031b,SoS033a,SoS035a,SoS035b,SoS036a,SoS036b,SoS039a,SoS039b,SoS042a,SoS042b,SoS055a,SoS055b,SoS060a,SoS060b,SoS063a,SoS063b,SoS065a,SoS065b,SoS069a,SoS069b,SoS070a,SoS070b,SoS073a,SoS073b,SoS075a,SoS075b,SoS077a,SoS077b,SoS078a,SoS078b,SoS079a,SoS079b,SoS080a,SoS080b,SoS081a,SoS081b,SoS082a,SoS082b,SoS085a,SoS085b,SoS087a,SoS087b,SoS091a,SoS091b,SoS098a,SoS098b,SoS099a,SoS099b,SoS100a,SoS100b,UG001,UG002,UG003,UG004,UG005,UG006,UG009,UG010
g__Micrococcus,36.60133,0.02529,0.23776,0.01847,0.7605,0,0.29861,0,0,0,0,0,0.2397,2.74439,0.06582,0,0.00492,0,0,2.0877,0,0,0,0,0.06583,0,0,0,0.00323,8.14677,0.01103,0,0.0022,0,0,25.1957,1.99368,0,0,0,0.00674,5.07013,39.60926,0,0.10709,0,0,0,0,0,0,0,0.00372,0,0.02636,0,0.02603,2.50747,0,0,0,0,0,0.41356,0,0,2.94663,0.90834,18.76411,14.97028,0.06725,0.00402,0.10272,0.2674,0.00399,0.0024,0,0.00102,3.45187,0.80229,0.30636,0.38308,0.15785,0.59448,0,0.06183,0.26006,0.01116,0.02173,0.07377,2.76301,16.80148,1.48945,10.36927,2.09782,0,0,0.14499,0.01216,0,0,0.00309,0,0.03449,0,0.00096,0,0,0,0,0,0.02319,0.02811,2.69953,4.15762,0,0,0,0,1.3503,0.12322,0.14023,0.31717,0,0,0.08463,0.0266,3.29409,1.48705,0,0.01003,0.07153,0,0,0.11938,0.00172,0,0.01238,0.00706,0.00165,0.01008,0.05034,0.05756,0.00386,0,0.06501,0.03631
g__Kocuria,14.69122,0,0,0.18196,2.78064,0,0,0.00326,0,0,0,0,0.34969,14.71279,0.43061,0,0,0,0,0.80835,0,0,0,10.59728,1.48823,0,0,0,0.01022,1.75563,0,0.30883,0.00679,0.13827,0.20672,11.59997,1.87745,0,0,0.1188,0.04442,0.04081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.90455,0,0,0,0,0,0,0,0,0.00566,0,0.09335,0.16602,0.0251,0,0.02859,0.05017,0,0,0,0,0.20849,0.066,1.20217,5.39238,0,0,0,0,0.00587,0.00974,0,0.22229,0,2.36882,1.48023,0,0.12336,0,0,0,0,0,0,0.00549,0.00317,0.01649,0,0,0,0,0,0.02784,0,0,0,9.32132,14.64289,0,0,0,0.00227,0.13669,0.19829,0,0.09098,0,0,0,0,0.42671,0.46369,0,0,0,0,0,0,0,0,0.0031,0,0,0,0.03457,0.03101,0,0,0.00612,0.02604
g__Cutibacterium,9.24332,41.17443,27.00244,98.35779,85.43124,84.22032,96.45611,92.53028,65.8189,92.92171,73.61015,34.89021,42.13388,54.95355,70.39719,19.77796,75.40627,4.58733,81.57278,70.77191,61.96838,88.79172,86.25949,89.40272,88.80225,98.66004,94.6992,6.37299,84.39449,82.02845,97.20221,33.29754,78.19863,96.77144,84.46639,21.62585,85.42481,7.76415,2.47916,65.2307,98.97206,3.11822,18.20165,23.36415,62.61101,37.18661,5.18444,83.66447,66.02341,56.79282,82.7453,87.98093,94.21184,88.71746,92.26761,71.22889,67.13344,52.50589,97.81642,86.33493,100,98.60919,95.29244,74.69629,85.58411,94.62576,80.27255,94.32689,65.4196,69.60046,95.21095,92.72775,75.13349,88.56523,98.398,96.12276,49.35056,89.72174,51.43258,74.79933,90.03185,86.86477,90.15609,71.10312,95.51872,87.77867,63.7058,73.69234,79.00196,78.05108,90.4836,19.87469,55.15935,33.9672,54.83266,91.60478,67.88373,90.51185,94.26577,87.47783,73.24907,6.71969,73.44158,97.79109,86.89473,80.69772,81.30058,96.05024,93.67569,66.25224,52.49685,92.17856,87.99774,53.03511,45.99012,98.73851,99.72469,99.79306,99.39257,82.59972,92.08652,34.90369,73.57808,61.60158,67.79066,83.57075,30.59925,37.80181,35.82153,59.93172,85.30789,23.72565,52.81883,90.7066,19.19025,67.67983,49.99421,63.24012,95.92496,48.95768,88.97073,72.41135,82.34611,65.23351,37.46198,95.89457,91.45274
g__Moraxella,8.47051,0,0,0.02301,0.67757,0.12103,0.85937,0.39935,0.45769,0,0,34.19675,19.81918,3.39242,0.0665,0,0,9.19735,0.09852,0,0,0,0,0,0.17895,0.00446,0.50912,0,0.08404,0,0,0,0.0156,0,0,0,0.02934,0,0,0.19726,0.1024,2.08859,3.58887,0,0.00477,0,0,0,0,0,0,0,0,0.48731,0.00276,0,0,4.52035,0,0,0,0,0,0.12352,0,0,0.1362,0.10257,0.06402,0.07427,0,0,0,0.06896,0,0,0,0,0.11013,0.09055,0.11113,0.18582,0.01485,0.24956,0,0.06663,0.20192,0.00494,0.00572,0.36859,1.09039,3.84822,0.37966,0.53274,0.4326,0,0,0.02576,0,0,0,1.75812,0.05633,0,0,0,0,0,0,0.03717,0.03753,0.00054,0,1.74979,3.46654,0,0,0,0,0.02989,0,0.01583,0.10681,0,0,0.03169,0.37047,0.73656,0.34357,0,0.00299,0,0,0,0.0247,0.00727,0.00914,0.03509,0.00578,0.59268,0.79165,0,0,0.00243,0,0.01055,0.00101
g__Paracoccus,7.78536,0,1.95328,0.03378,0.28353,0,0,0,0,0,0,0,0,0,0,0,0.0019,0,0,9.23808,0,0,0,0,0.92189,0,0.04483,0,0,0,0,0,0,0,0,0.06838,0.04631,0,0,0,0.04339,0.42243,3.35609,0,0.00676,0,0,0,0,0,0,0,0,0,0,0,0,0.60609,0,0,0,0,0,0,0,0,0,0,0.02779,0.02743,0,0,0.0135,0.01016,0,0,0,0,0.02434,0,0.03283,0.14457,0,0,0,0.07914,0.08093,0.02215,0.02569,0.03835,0,0.88087,0.08199,0,0.10439,0,0,0.36084,0.04487,0.00697,0,0,0,0.041,0,0,0,0,0,0.00289,0,0,0,2.42293,3.44782,0,0,0,0,0.02738,0,0,0.20097,0,0,0.01165,0.13074,3.2618,1.72302,0,0.01802,0.19663,0.02141,0.00588,0.74233,0,0,0.04284,0.0571,0,0,0.00975,0.01233,0.04289,0,0.07703,1.81792
g__Staphylococcus,5.77184,3.9796,59.78585,0.18615,2.61487,1.59192,0.54835,0.19733,9.79592,0.98386,0.09588,3.83493,2.04724,12.40915,5.75446,13.12684,2.70307,83.97875,8.01009,0.53615,20.34265,8.42814,12.68018,0,7.29077,0.2628,2.18115,92.61879,10.40845,1.00529,1.16017,9.04134,3.5404,2.69382,8.00026,12.81524,1.67588,12.2977,31.36617,22.99884,0.46829,0,10.7376,0,0.18289,29.63942,58.8392,5.93421,8.5064,9.88934,2.35909,1.41353,0.01804,9.47879,7.68133,28.77111,31.30125,19.13364,1.93386,10.9932,0,1.23452,1.3087,2.21702,4.51128,0.68313,3.86696,0.23848,5.97457,7.51746,2.92236,4.15558,3.48869,0.12857,0.10123,0.07518,37.75308,2.34734,18.01743,12.68444,0.3534,0.31166,3.05947,0.09539,0.42372,0.93129,2.60896,0.09384,1.90806,1.4813,2.39112,10.76264,38.05676,21.60309,12.09448,0.58367,0.89316,1.4217,0.21916,2.23418,0.56195,88.3141,25.9142,0.18244,0.82883,0.66479,1.2483,1.35109,0.27549,1.00863,0.31399,1.57126,0.26013,5.03935,4.2591,1.15635,0.07048,0.0002,0,2.21049,0.99008,30.74961,1.47927,24.15376,18.63654,3.79901,6.80833,23.13015,7.30138,7.07979,3.71404,2.93166,9.13778,2.66878,40.089,1.13646,2.77043,6.78841,1.52585,1.33748,0.31291,2.67246,0.98928,0.14221,18.32129,0.70594,0.27532
g__GGB7899,3.33277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293,0,0,0,0,0,0,0,0.04099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056,0.00139,0,0,0,0,0,0,0,0,0.01352,0,0.0004,0.01014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35932,0.18782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Vibrio,2.8612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51444,0,0,0,0,0,0,0,0,0,0,0,0,0.00691,0,0,0,0
g__Acinetobacter,1.75742,0,0,0,0.03997,0.03061,0.02712,0.00309,0.05707,0,0,4.08095,3.194,0.0137,0,0,0.04846,0,0,0,0,0,0,0,0.00208,0,0.177,0,0.00597,0,0,1.14671,0.1058,0,0,6.02854,1.69178,18.37001,4.07385,0,0,0,0,0,0.01281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00982,0,0.00558,0.09167,0,0,0,0,0,0.00589,0,0,0.00675,0.00756,0.0471,0.11217,0,0,0,0,0,0,0,0.45705,0,8.3425,0.31532,0,0.02462,0.00187,0.01279,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098,0,0,0,0,0.02258,0,0,0,0,0
g__Janibacter,1.50708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27799,0.00841,0,0.00031,0,0,0,0,0,0,0,0.00198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515,0.07444,0,0,0,0,0,0,0,0,0.04831,0,0.00276,0.00591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05158,0.00395,0,0,0,0,0.05829,0.01366,0,0,0,0,0,0,0,0,1.54712,2.39927,0,0,0,0,0.03379,0.00618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00483,0,0,0,0,0
