Sample,X16B1NL,X17B1L,X17B1NL,X2B1L,X2B1NL,X9B1L,X9B1NL,P001,P002,P003,P004,P005,P006,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P055,P056,P057,P058,P059,P060,SoS002a,SoS002b,SoS004a,SoS004b,SoS005a,SoS005b,SoS006a,SoS006b,SoS008a,SoS008b,SoS011a,SoS011b,SoS014a,SoS014b,SoS017a,SoS017b,SoS018a,SoS018b,SoS023a,SoS023b,SoS024a,SoS024b,SoS025a,SoS025b,SoS027b,SoS031b,SoS033a,SoS035a,SoS035b,SoS036a,SoS036b,SoS039a,SoS039b,SoS042a,SoS042b,SoS055a,SoS055b,SoS060a,SoS060b,SoS063a,SoS063b,SoS065a,SoS065b,SoS069a,SoS069b,SoS070a,SoS070b,SoS073a,SoS073b,SoS075a,SoS075b,SoS077a,SoS077b,SoS078a,SoS078b,SoS079a,SoS079b,SoS080a,SoS080b,SoS081a,SoS081b,SoS082a,SoS082b,SoS085a,SoS085b,SoS087a,SoS087b,SoS091a,SoS091b,SoS098a,SoS098b,SoS099a,SoS099b,SoS100a,SoS100b,UG001,UG002,UG003,UG004,UG005,UG006,UG009,UG010
s__Micrococcus_luteus,36.55164,0.02529,0.23776,0.01847,0.75769,0,0.29861,0,0,0,0,0,0.2397,2.74439,0.06582,0,0.00492,0,0,2.0877,0,0,0,0,0.06583,0,0,0,0.00323,8.14677,0.01103,0,0.0022,0,0,25.1957,1.95879,0,0,0,0.00674,5.07013,39.60926,0,0.10709,0,0,0,0,0,0,0,0.00372,0,0.02636,0,0,2.50747,0,0,0,0,0,0.41356,0,0,2.94663,0.90834,18.76411,14.97028,0.06725,0.00402,0.10272,0.2674,0.00399,0.0024,0,0.00102,3.44991,0.80229,0.30636,0.38308,0.15322,0.49103,0,0.06183,0.26006,0.01116,0.02173,0.07377,2.76301,16.80148,1.48945,10.36927,2.09366,0,0,0.14499,0.01216,0,0,0.00275,0,0.01925,0,0.00096,0,0,0,0,0,0.02319,0.02811,2.69953,4.15762,0,0,0,0,1.26115,0.10987,0.14023,0.31651,0,0,0.08463,0.0266,3.29409,1.48705,0,0.01003,0.07153,0,0,0.11938,0.00172,0,0.01238,0.00706,0.00165,0.01008,0.05034,0.05756,0.00386,0,0.06501,0.03631
s__Kocuria_rhizophila,14.54753,0,0,0.18196,2.76966,0,0,0.00326,0,0,0,0,0,14.71279,0.43061,0,0,0,0,0.80835,0,0,0,10.59728,1.48823,0,0,0,0.01022,1.75563,0,0.30883,0.00679,0.09368,0.20672,0,0,0,0,0.1188,0.04442,0.04081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.90455,0,0,0,0,0,0,0,0,0.00382,0,0,0.00072,0.00294,0,0.02859,0.05017,0,0,0,0,0.05755,0,0.78256,3.71502,0,0,0,0,0,0,0,0,0,1.54838,1.4059,0,0.01711,0,0,0,0,0,0,0,0.00317,0,0,0,0,0,0,0,0,0,0,9.29234,14.60355,0,0,0,0.00227,0.01294,0.02522,0,0,0,0,0,0,0,0.00478,0,0,0,0,0,0,0,0,0.0031,0,0,0,0.03368,0.03101,0,0,0,0
s__Cutibacterium_acnes,9.22601,41.13402,26.72284,98.24408,84.93177,76.13646,96.26363,92.38005,65.10277,91.89117,73.61015,34.89021,41.73163,39.3136,32.15023,19.77796,75.36774,4.58733,81.56568,70.77191,61.89765,88.70088,86.15743,89.0558,87.331,4.31779,42.03017,5.73693,9.20695,74.20237,92.98659,32.64574,77.4159,33.50837,43.81495,21.62585,73.46447,7.76415,2.47916,65.2307,97.91022,2.97608,18.20165,23.36415,52.14282,37.18661,5.18444,83.64297,62.87614,56.79282,79.36528,85.53386,93.73167,74.86067,82.64079,71.12466,32.78313,52.50589,97.81642,78.68909,100,96.64724,50.52896,71.58384,74.85775,87.04787,71.58163,93.10337,64.96959,68.00846,94.61234,89.06605,72.01727,44.21209,92.69917,81.40943,28.22243,88.40451,24.08089,44.33966,82.26949,66.07748,86.31599,70.04434,92.71451,20.64312,28.1286,58.62286,76.95648,71.93233,89.83585,19.87469,55.12362,33.72834,54.80753,84.45222,34.34411,89.36393,92.94783,86.09756,69.04272,6.71969,73.43069,96.80151,70.12139,65.60155,56.00937,95.48518,93.29209,32.05585,25.31405,91.01005,66.65452,47.28503,39.93232,98.51429,98.31595,99.52274,99.29322,81.32362,89.65333,34.43816,69.61438,51.11389,65.65372,80.53033,30.17545,33.66111,25.51937,22.68192,1.51185,22.49144,48.69519,19.31606,11.80213,66.23128,45.0937,62.81875,78.31295,46.81907,86.46491,64.72921,75.70071,30.84031,27.60814,89.39654,87.27603
s__Moraxella_osloensis,8.45493,0,0,0.02301,0.67757,0.12103,0.85937,0.00715,0.45769,0,0,34.19675,19.81918,3.39242,0.0665,0,0,9.19735,0.09852,0,0,0,0,0,0.17895,0.00446,0.50912,0,0.08404,0,0,0,0.0156,0,0,0,0.02934,0,0,0.19726,0.1024,2.08859,3.58887,0,0.00477,0,0,0,0,0,0,0,0,0.48731,0.00276,0,0,2.64234,0,0,0,0,0,0.12352,0,0,0.1362,0.10257,0.06402,0.07427,0,0,0,0.06896,0,0,0,0,0.11013,0.0741,0.10903,0.18473,0,0.00428,0,0.06663,0.20192,0.00494,0.00572,0.36859,1.09039,3.84822,0.37966,0.47231,0.4326,0,0,0.02576,0,0,0,1.75812,0.05633,0,0,0,0,0,0,0.03717,0.03753,0.00054,0,1.74915,3.46654,0,0,0,0,0.02989,0,0.01583,0.10681,0,0,0.03169,0.37047,0.73656,0.34357,0,0,0,0,0,0.0247,0.00727,0.00914,0.03509,0.00578,0,0,0,0,0.00243,0,0.01055,0.00101
s__Staphylococcus_hominis,4.94803,0.97583,27.65677,0,0.2535,0,0.06313,0,0,0,0,0,0,0,0,0,0,0,0.1141,0,0,0,0,0,0,0,0.01087,5.27466,0.03246,0,0,1.00227,0.41265,0,0,0,0.00908,0,0,0,0.00706,0,0,0,0.01435,0,0,0,0,0,0.00177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76363,0.00964,0.54145,0.10845,0.29612,0.39752,0.00635,0,0.01719,0.05542,0,0,0.07202,0,0,0,0.04869,0.06915,0,0.00265,0,0,0,0,0.00432,0,0,0.79352,0.23542,0.08717,0.05514,0,0,0.1203,0.00102,0.02914,0,4.15165,0,0,0,0,0,0.03193,0,0,0,0,0,0.04125,0.0386,0,0,0,0,0,0,0,0.02176,0,0.02513,0.03702,0.02941,0,0.05013,0,0,0,0.15253,0.00532,2.07175,0.02985,0,0,0.0029,0.21748,0.14479,0.0076,0.00139,0,0,0,0
s__GGB7899_SGB11736,3.33277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293,0,0,0,0,0,0,0,0.04099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056,0.00139,0,0,0,0,0,0,0,0,0.01352,0,0.0004,0.01014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35932,0.18782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Vibrio_hibernica,2.85995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Paracoccus_salipaludis,2.25396,0,0,0,0.0159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113,0,0,0,0.06649,0.01274,0,0.00978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31661,0.42505,0,0,0,0,0,0,0,0,0,0,0,0,0.4103,0.28305,0,0,0,0,0,0.01119,0,0,0,0,0,0,0,0,0,0,0,0
s__Paracoccus_yeei,2.08334,0,0,0.03378,0.2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.23808,0,0,0,0,0.76059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01434,0.28351,3.35609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01575,0.02364,0,0,0,0.0087,0.05108,0.02215,0.00537,0,0,0.88087,0.08199,0,0.06232,0,0,0.18484,0.01634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6045,2.25411,0,0,0,0,0.02738,0,0,0,0,0,0,0.11304,2.54372,1.17709,0,0.01802,0.19663,0.02141,0.00307,0.3054,0,0,0.03621,0.0571,0,0,0,0,0.04289,0,0,0
s__Paracoccus_aeridis,1.82386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01168,0.13892,0,0,0.00676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135,0.01016,0,0,0,0,0,0,0.01707,0.08499,0,0,0,0,0,0,0,0.00266,0,0,0,0,0,0,0,0.05159,0.00106,0,0,0,0,0,0,0,0,0,0,0.00016,0,0,0,0.0536,0.05689,0,0,0,0,0,0,0,0.20097,0,0,0,0,0.22457,0.19254,0,0,0,0,0.00281,0.42344,0,0,0.00663,0,0,0,0,0,0,0,0.04256,0.05397
