,SoS091a_CP04272_S249_L001_matches.tsv,SoS055a_CP04272_S217_L001_matches.tsv,UG006_CP04272_S262_L001_matches.tsv,SoS042a_CP04272_S215_L001_matches.tsv,SoS036a_CP04272_S211_L001_matches.tsv,9B1L_CP04272_S278_L001_matches.tsv,SoS024a_CP04272_S197_L001_matches.tsv,SoS070a_CP04272_S227_L001_matches.tsv,SoS078b_CP04272_S236_L001_matches.tsv,SoS017a_CP04272_S191_L001_matches.tsv,SoS098b_CP04272_S252_L001_matches.tsv,P060_CP04272_S338_L001_matches.tsv,P006_CP04272_S287_L001_matches.tsv,SoS002a_CP04272_S177_L001_matches.tsv,P012_CP04272_S291_L001_matches.tsv,P031_CP04272_S310_L001_matches.tsv,SoS081a_CP04272_S241_L001_matches.tsv,P043_CP04272_S322_L001_matches.tsv,SoS008a_CP04272_S185_L001_matches.tsv,P026_CP04272_S305_L001_matches.tsv,UG004_CP04272_S260_L001_matches.tsv,SoS025a_CP04272_S199_L001_matches.tsv,SoS098a_CP04272_S251_L001_matches.tsv,SoS079b_CP04272_S238_L001_matches.tsv,SoS017b_CP04272_S192_L001_matches.tsv,SoS008b_CP04272_S186_L001_matches.tsv,SoS081b_CP04272_S242_L001_matches.tsv,SoS014a_CP04272_S189_L001_matches.tsv,P009_CP04272_S288_L001_matches.tsv,SoS042b_CP04272_S216_L001_matches.tsv,SoS065b_CP04272_S224_L001_matches.tsv,UG005_CP04272_S261_L001_matches.tsv,SoS035a_CP04272_S209_L001_matches.tsv,P004_CP04272_S285_L001_matches.tsv,P018_CP04272_S297_L001_matches.tsv,UG001_CP04272_S257_L001_matches.tsv,SoS006b_CP04272_S184_L001_matches.tsv,2B1L_CP04272_S276_L001_matches.tsv,SoS078a_CP04272_S235_L001_matches.tsv,SoS006a_CP04272_S183_L001_matches.tsv,P041_CP04272_S320_L001_matches.tsv,SoS065a_CP04272_S223_L001_matches.tsv,P024_CP04272_S303_L001_matches.tsv,P033_CP04272_S312_L001_matches.tsv,SoS036b_CP04272_S212_L001_matches.tsv,P055_CP04272_S333_L001_matches.tsv,P010_CP04272_S289_L001_matches.tsv,P001_CP04272_S282_L001_matches.tsv,P019_CP04272_S298_L001_matches.tsv,SoS018a_CP04272_S193_L001_matches.tsv,SoS091b_CP04272_S250_L001_matches.tsv,SoS018b_CP04272_S194_L001_matches.tsv,P015_CP04272_S294_L001_matches.tsv,P036_CP04272_S315_L001_matches.tsv,SoS005b_CP04272_S182_L001_matches.tsv,P056_CP04272_S334_L001_matches.tsv,P051_CP04272_S330_L001_matches.tsv,SoS082b_CP04272_S244_L001_matches.tsv,SoS039b_CP04272_S214_L001_matches.tsv,P023_CP04272_S302_L001_matches.tsv,P034_CP04272_S313_L001_matches.tsv,SoS077a_CP04272_S233_L001_matches.tsv,SoS011b_CP04272_S188_L001_matches.tsv,SoS033a_CP04272_S207_L001_matches.tsv,P003_CP04272_S284_L001_matches.tsv,SoS077b_CP04272_S234_L001_matches.tsv,P057_CP04272_S335_L001_matches.tsv,SoS082a_CP04272_S243_L001_matches.tsv,SoS075a_CP04272_S231_L001_matches.tsv,SoS039a_CP04272_S213_L001_matches.tsv,UG009_CP04272_S263_L001_matches.tsv,SoS031b_CP04272_S206_L001_matches.tsv,SoS014b_CP04272_S190_L001_matches.tsv,SoS075b_CP04272_S232_L001_matches.tsv,P046_CP04272_S325_L001_matches.tsv,P017_CP04272_S296_L001_matches.tsv,P021_CP04272_S300_L001_matches.tsv,SoS004a_CP04272_S179_L001_matches.tsv,16B1NL_CP04272_S343_L001_matches.tsv,P044_CP04272_S323_L001_matches.tsv,P053_CP04272_S332_L001_matches.tsv,SoS005a_CP04272_S181_L001_matches.tsv,SoS087b_CP04272_S248_L001_matches.tsv,9B1NL_CP04272_S279_L001_matches.tsv,SoS035b_CP04272_S210_L001_matches.tsv,SoS025b_CP04272_S200_L001_matches.tsv,P029_CP04272_S308_L001_matches.tsv,P059_CP04272_S337_L001_matches.tsv,P025_CP04272_S304_L001_matches.tsv,SoS027b_CP04272_S202_L001_matches.tsv,SoS085b_CP04272_S246_L001_matches.tsv,SoS069a_CP04272_S225_L001_matches.tsv,P040_CP04272_S319_L001_matches.tsv,UG010_CP04272_S264_L001_matches.tsv,P042_CP04272_S321_L001_matches.tsv,P013_CP04272_S292_L001_matches.tsv,SoS004b_CP04272_S180_L001_matches.tsv,P058_CP04272_S336_L001_matches.tsv,SoS011a_CP04272_S187_L001_matches.tsv,SoS063b_CP04272_S222_L001_matches.tsv,P038_CP04272_S317_L001_matches.tsv,P050_CP04272_S329_L001_matches.tsv,SoS063a_CP04272_S221_L001_matches.tsv,P027_CP04272_S306_L001_matches.tsv,P011_CP04272_S290_L001_matches.tsv,P032_CP04272_S311_L001_matches.tsv,SoS087a_CP04272_S247_L001_matches.tsv,SoS073a_CP04272_S229_L001_matches.tsv,P020_CP04272_S299_L001_matches.tsv,SoS069b_CP04272_S226_L001_matches.tsv,17B1NL_CP04272_S273_L001_matches.tsv,SoS085a_CP04272_S245_L001_matches.tsv,P005_CP04272_S286_L001_matches.tsv,P048_CP04272_S327_L001_matches.tsv,P045_CP04272_S324_L001_matches.tsv,SoS080a_CP04272_S239_L001_matches.tsv,SoS024b_CP04272_S198_L001_matches.tsv,P037_CP04272_S316_L001_matches.tsv,SoS070b_CP04272_S228_L001_matches.tsv,P049_CP04272_S328_L001_matches.tsv,SoS055b_CP04272_S218_L001_matches.tsv,SoS060a_CP04272_S219_L001_matches.tsv,SoS002b_CP04272_S178_L001_matches.tsv,SoS023a_CP04272_S195_L001_matches.tsv,SoS100a_CP04272_S255_L001_matches.tsv,P022_CP04272_S301_L001_matches.tsv,SoS060b_CP04272_S220_L001_matches.tsv,P016_CP04272_S295_L001_matches.tsv,P035_CP04272_S314_L001_matches.tsv,SoS023b_CP04272_S196_L001_matches.tsv,P047_CP04272_S326_L001_matches.tsv,17B1L_CP04272_S344_L001_matches.tsv,P002_CP04272_S283_L001_matches.tsv,UG003_CP04272_S259_L001_matches.tsv,SoS100b_CP04272_S256_L001_matches.tsv,P039_CP04272_S318_L001_matches.tsv,SoS079a_CP04272_S237_L001_matches.tsv,P030_CP04272_S309_L001_matches.tsv,2B1NL_CP04272_S277_L001_matches.tsv,P028_CP04272_S307_L001_matches.tsv,SoS099a_CP04272_S253_L001_matches.tsv,SoS099b_CP04272_S254_L001_matches.tsv,P052_CP04272_S331_L001_matches.tsv,SoS080b_CP04272_S240_L001_matches.tsv,UG002_CP04272_S258_L001_matches.tsv,SoS073b_CP04272_S230_L001_matches.tsv,P014_CP04272_S293_L001_matches.tsv
VF0460,341,5089,1126,2797,648,1258,1552,7355,10259,4759,1006,1240,2613,4432,3072,56,2414,403,1320,7295,3364,1463,2913,6037,2867,6806,9783,1585,125,7857,2193,2547,917,12,3644,4016,4400,1813,11617,3161,221,10643,9859,279,2679,3,7073,8178,48,6607,1599,5197,95,14261,2211,6326,25,883,2554,834,280,4226,7584,1118,2997,6036,14,5062,4725,6588,2507,4008,1454,3183,5491,8437,673,3201,3017,29849,40,2760,6336,4499,3632,11916,1603,91,81,9446,6039,4733,3810,2953,1392,88,2340,9084,7285,2334,52,7235,6589,914,68,1722,2541,2633,5785,5898,1228,913,196,8458,4,1529,2811,376,4405,73,2974,6056,3071,5829,1561,3929,1889,382,57,3233,434,872,350,3169,1622,50,2230,88,3484,3428,5001,3915,3316,6030,6664,2081,543
VF0268,110,2630,398,1604,310,383,810,3118,4890,1989,562,443,761,1953,1623,20,1358,214,500,3946,1540,650,1732,3522,1837,3342,6146,668,33,4614,1239,922,619,13,2127,1147,2210,1028,5195,1886,73,5581,5623,118,1080,2,2973,4150,26,3059,649,2569,60,6655,1262,3126,10,345,1264,168,91,2505,4875,667,1623,3703,7,2397,2107,3140,1235,1863,812,1417,2736,4337,388,1486,1397,12628,27,1351,3568,1835,2025,4967,841,46,37,4143,1637,3174,1421,1505,530,44,1032,3514,4384,1301,37,3644,3565,360,30,807,1257,1266,3018,3279,474,318,86,4274,0,432,1706,163,1348,52,1207,3161,1485,2734,634,1992,1168,144,28,1355,184,343,132,1233,922,8,1153,36,1719,1764,1795,1472,1492,3116,3597,1010,228
VF0583,61,399,207,487,122,152,182,366,736,618,277,110,185,411,259,5,447,26,110,536,200,102,254,614,554,383,1818,348,7,797,301,150,190,1,419,196,395,246,678,370,43,932,1069,30,296,0,508,850,0,567,307,435,10,836,362,1017,7,54,148,162,36,494,868,137,441,755,0,469,444,498,311,324,127,318,371,764,44,337,328,2942,13,455,561,345,1170,579,137,10,3,722,635,716,267,391,353,10,178,566,896,232,13,984,579,112,24,156,232,201,514,576,208,190,15,635,3,206,223,64,171,11,126,1847,272,501,239,424,398,34,16,294,44,101,43,188,224,0,249,6,388,348,159,221,403,277,655,93,72
VF0449,3,2,1,0,0,9,0,1,0,13,15,2,25,0,2,0,17,0,0,0,1,8,6,2,6,12,0,2,0,0,0,0,14,0,1,1,0,0,0,0,0,1,5,1,4,0,0,0,0,4,3,4,0,0,2,0,0,0,0,0,1,0,7,0,1,0,0,2,8,0,2,5,0,7,4,0,10,3,29,2,0,2,2,26,9,2,0,0,0,0,17,8,0,5,0,1,0,1,0,4,0,2,2,0,0,23,0,0,3,0,2,1,2,0,0,0,2,1,0,0,0,0,0,0,3,0,2,0,0,3,0,3,4,3,1,5,3,0,2,3,2,2,0,1,1,0,0
VF0013,16,0,0,1,0,0,0,0,0,0,7,0,3,0,1,8,0,0,0,0,5,0,0,0,1,0,2,0,0,0,0,0,19,4,0,0,0,0,3,0,0,12,0,0,0,0,0,4,0,3,9,5,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,1,1,2,0,0,0,1,0,42,2,0,0,0,0,33,1077,0,5,0,0,0,256,0,0,1,0,33,0,8,0,1,0,0,0,1,0,4,0,30,0,0,8,92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,1,0,5,0,0,0,8,18,0,0,0,0,2,0,0,12
VF0091,278,4710,742,2501,587,1626,1471,4794,8714,3328,600,884,2119,3778,2388,65,1870,388,997,5721,2814,1099,2467,5088,3035,6138,8877,930,94,7126,1906,2011,1264,19,3425,2557,4061,1727,10331,3128,134,8724,8320,281,2007,32,4506,6941,31,6072,1113,4905,94,11051,2094,5344,39,450,2113,200,234,3726,7512,1011,2535,5500,10,4512,3270,6029,2561,3644,1475,2511,4549,6784,661,2862,3209,20596,59,2601,4715,5294,3579,9137,1339,52,70,7326,3386,4705,2708,2818,649,69,2089,6869,6415,2247,132,5291,6559,539,65,1493,2060,2491,5270,5223,737,520,208,6461,26,564,2357,350,2334,87,2365,2773,2958,4944,980,3412,1512,247,41,2502,278,646,255,2258,1578,21,1895,92,3256,2172,3535,2734,2632,5877,6323,1797,443
VF0095,209,4271,776,2278,477,707,1418,4912,7729,3252,681,651,1086,3731,2660,23,2004,396,1095,5515,2626,1176,2788,4957,2576,5668,8163,1009,67,6803,1965,2037,741,10,3061,2723,3797,1650,9281,3152,139,8192,8611,123,1669,12,4867,5971,20,5534,967,4281,80,9594,1858,5458,27,626,2287,260,104,3559,7121,1009,2338,4916,8,4252,3011,5739,2107,3144,1171,2052,3826,6397,772,2602,1688,20341,44,2213,5725,3345,4176,8602,1461,64,44,7312,3145,4410,3096,2545,931,28,1897,6234,6407,2281,23,5553,5784,583,41,1129,2108,2305,4387,5029,655,688,77,6235,3,823,2545,189,3166,42,2015,3842,2851,4797,1151,4042,1691,281,55,2552,314,545,218,2236,1561,22,1788,61,2599,2674,3321,2706,1887,4705,5832,1650,365
VF0286,131,1956,541,1075,254,368,657,2706,3945,1468,211,368,525,1783,1158,32,883,168,572,2343,1393,636,874,2324,1222,2342,4472,392,30,3116,836,736,414,10,1344,1891,2005,785,4741,1451,48,4030,2404,76,1016,0,2416,3430,19,2661,504,2262,31,4553,992,2511,12,431,1344,82,57,1584,3139,456,1144,2270,6,2158,1775,2933,994,1692,567,1162,2276,3105,216,1550,995,11654,15,1132,1518,1638,1399,5172,482,36,53,4200,1127,2080,1102,1225,214,20,1009,3069,2851,1070,26,2378,2674,321,4,701,965,1270,2082,2349,329,281,42,3074,2,345,767,123,981,25,1388,1408,1377,2171,464,1368,649,110,22,1260,120,295,108,1299,612,3,854,50,1418,1242,2340,2278,813,2891,2680,887,155
VF0171,206,1542,495,725,326,528,514,2997,2784,1789,371,564,1055,1485,862,27,730,105,495,1806,1323,704,846,1772,1007,2553,3317,390,48,2084,825,863,623,11,962,2117,1222,500,2969,908,89,3315,2135,151,1139,4,2551,2598,22,2189,634,2127,67,3095,826,1551,14,528,1366,29,57,1001,2144,270,748,1354,2,1785,2032,2160,855,1465,543,1356,1923,2282,168,1278,1934,10231,21,1143,1538,1486,1838,4947,409,21,45,3809,2119,1285,1185,1003,246,27,700,2140,1948,926,46,1535,1920,457,25,625,1238,900,1350,1584,342,378,138,2143,2,196,759,225,1523,18,1167,654,976,1405,443,1460,362,109,15,1352,126,422,93,1240,499,20,801,35,1088,1636,2243,2607,600,2753,1984,715,166
VF0073,48,582,116,324,73,124,180,770,1090,684,108,159,205,488,412,4,283,41,195,760,352,134,271,603,314,588,1230,170,19,775,230,345,157,6,335,427,425,170,1234,384,15,1038,998,26,291,4,667,935,0,775,188,672,15,1477,290,653,1,102,211,40,26,407,785,130,316,555,0,552,469,646,285,449,131,243,603,928,79,305,382,3049,4,288,531,499,349,1005,178,14,1,873,636,541,620,394,161,14,240,1042,803,258,10,794,777,67,7,264,226,274,579,564,137,99,19,858,0,139,303,31,559,6,259,343,435,576,181,360,180,32,10,341,24,112,47,370,186,2,250,14,363,355,395,339,193,699,752,213,99
VF0072,841,13168,2900,6651,1670,2405,4215,18645,25393,11316,2226,2754,3969,11780,7177,116,6652,1166,3555,16867,8238,3898,7605,15328,6869,17844,28409,3848,319,19653,5634,5907,2189,26,9317,9693,12002,4336,29190,9186,333,26687,26832,379,5817,34,18087,20679,64,17503,3163,13854,195,33002,5902,16895,74,2025,7793,1174,411,9952,21373,2936,7585,14574,22,13530,10586,17899,7098,9876,3788,6829,14620,21349,2153,8774,6342,73478,162,6926,16263,10297,9969,29903,4580,226,211,24937,9108,12502,8698,7833,2860,109,5983,23110,17967,6482,212,18880,16935,1740,116,4786,6664,7501,14536,13934,2984,1722,341,20978,28,2590,7761,703,9239,104,7158,12626,9087,14032,3490,11079,4907,857,153,7949,1146,1547,754,7620,4226,40,5593,166,8211,8316,11561,10541,7190,16627,18181,5547,1312
VF0798,85,1199,311,648,219,344,467,2217,2053,1656,278,260,612,1170,993,10,678,99,402,1309,791,337,817,1109,863,1373,2636,430,43,1549,520,897,292,6,750,1204,1096,394,2192,740,23,2521,2169,42,790,8,1641,1894,9,1446,329,1348,7,2510,502,1559,4,292,632,107,73,818,1679,243,698,1191,1,1289,1202,1435,566,954,398,725,1361,1628,150,772,583,7029,21,785,1375,1241,768,2604,315,21,14,1914,1624,1140,1734,781,457,15,584,1559,1427,562,14,1480,1392,118,7,410,706,591,1296,1079,230,261,76,1638,2,379,707,64,2099,17,615,970,868,1304,626,941,371,117,14,1025,99,308,47,761,442,9,557,22,733,761,1007,991,577,1503,1685,428,74
VF0368,34,113,113,75,87,114,13,269,105,561,188,63,178,127,118,11,252,12,47,72,96,77,79,64,297,254,969,234,15,86,34,61,109,3,212,127,106,21,74,73,34,162,532,50,278,12,345,161,3,167,108,255,8,146,130,299,7,58,121,103,27,38,69,33,23,54,0,157,214,88,65,78,63,169,110,273,25,130,419,1173,3,196,150,272,570,257,43,3,7,194,222,70,117,97,277,9,36,136,64,68,10,245,87,78,7,106,157,25,173,63,240,76,19,105,9,112,50,43,59,8,68,1426,44,91,40,117,249,18,6,88,11,41,32,143,37,7,71,6,141,107,132,203,427,297,76,24,61
VF0299,97,524,191,417,166,172,151,877,940,966,181,105,207,494,354,13,322,31,191,522,313,158,283,616,753,587,1395,230,32,843,300,334,251,2,323,619,529,279,904,459,24,1257,800,45,362,1,578,802,9,831,281,896,28,947,562,616,3,141,338,99,40,452,988,151,324,767,0,669,814,787,279,495,236,652,609,751,56,515,773,3520,24,542,376,531,1105,1248,102,8,10,1340,828,696,525,414,151,10,275,439,879,326,17,760,700,191,8,176,331,292,599,613,176,161,26,739,5,116,203,66,794,11,247,815,376,603,204,711,195,45,10,691,47,170,43,303,219,5,334,17,588,927,478,558,324,575,792,238,65
